SAN JOSE,320,333,134534,48.50446727221352,urbana,94.56793694410297,hombre,30 a 34,38508,3.4777189155500157,vivienda en mal estado,vivienda no hacinada,primaria completa,alfabeta,8.11162697707473,34.674947702985754,70.77625570776276,27.24863600935303,dentro de fuerza,sector terciario,no nacido en extranjero,sin discapacidad,12.874812315102401,asegurado,29.284226228749084,7.75683,jefatura masculina,telefono celular,telefono residencial,no computadora,no internet,electricidad,servicio sanitario,agua,REPUBLICANO SOCIAL CRISTIANO,RESTAURACION NACIONAL,True,REPUBLICANO SOCIAL CRISTIANO,RESTAURACION NACIONAL,RESTAURACION NACIONAL
ALAJUELA,317,325,25460,56.233307148468356,no urbana,100.11003694097305,mujer,60 a 64,7472,3.4059154175588864,vivienda en buen estado,vivienda no hacinada,primaria completa,alfabeta,9.359143506001965,30.554972062345175,70.30303030303047,31.575301800910424,fuera de fuerza,oficios domesticos,no nacido en extranjero,sin discapacidad,10.750196386488701,asegurado,22.919669768051396,8.471627,jefatura femenina,telefono celular,telefono residencial,computadora,internet,electricidad,servicio sanitario,agua,LIBERACION NACIONAL,RESTAURACION NACIONAL,True,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN JOSE,376,396,20209,12.4894848829729,no urbana,102.2518014411529,mujer,20 a 24,5871,3.4357009027422927,vivienda en buen estado,vivienda no hacinada,primaria completa,alfabeta,7.70900594732374,33.96437117787849,73.03780964797907,25.868421052631547,dentro de fuerza,sector terciario,no nacido en extranjero,sin discapacidad,9.213716660893567,asegurado,26.536453948476282,4.888435,jefatura femenina,no telefono celular,telefono residencial,no computadora,no internet,electricidad,servicio sanitario,agua,INTEGRACION NACIONAL,ACCION CIUDADANA,True,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN JOSE,436,435,115084,98.53585207326677,urbana,89.2362081723259,mujer,40 a 44,32520,3.5261070110701107,vivienda en buen estado,vivienda no hacinada,primaria completa,alfabeta,10.487206491299512,32.755295060428786,72.12252992759952,43.61623464651092,dentro de fuerza,sector terciario,no nacido en extranjero,sin discapacidad,12.066838135622486,asegurado,37.144313513837496,7.300123,jefatura masculina,telefono celular,telefono residencial,computadora,no internet,electricidad,servicio sanitario,agua,LIBERACION NACIONAL,ACCION CIUDADANA,True,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
LIMON,267,253,94415,71.16030291796778,urbana,93.98615191797991,mujer,45 a 49,26666,3.5168004200105,vivienda en buen estado,vivienda no hacinada,secundaria incompleta,alfabeta,8.740110277617415,35.72109107590223,66.59011164274352,32.61219120011707,fuera de fuerza,estudia,no nacido en extranjero,sin discapacidad,15.387385479002171,asegurado,32.681429997412245,4.432611,jefatura femenina,telefono celular,telefono residencial,no computadora,no internet,electricidad,servicio sanitario,agua,LIBERACION NACIONAL,RESTAURACION NACIONAL,True,RESTAURACION NACIONAL,RESTAURACION NACIONAL,ACCION CIUDADANA
CARTAGO,392,411,99399,96.98689121620986,urbana,93.184070899656,mujer,20 a 24,26979,3.6714110975202936,vivienda en mal estado,vivienda no hacinada,secundaria completa,alfabeta,10.248250652741504,34.21548437979272,75.39048260003895,44.65555781345259,dentro de fuerza,sector terciario,no nacido en extranjero,sin discapacidad,14.135957102184127,asegurado,31.548979073731584,8.358353,jefatura femenina,telefono celular,no telefono residencial,no computadora,no internet,electricidad,servicio sanitario,agua,LIBERACION NACIONAL,ACCION CIUDADANA,True,LIBERACION NACIONAL,RESTAURACION NACIONAL,ACCION CIUDADANA
ALAJUELA,418,435,25460,56.233307148468356,urbana,100.11003694097305,mujer,65 a 69,7472,3.4059154175588864,vivienda en mal estado,vivienda no hacinada,secundaria incompleta,alfabeta,9.359143506001965,30.554972062345175,70.30303030303047,31.575301800910424,dentro de fuerza,sector terciario,no nacido en extranjero,sin discapacidad,10.750196386488701,asegurado,22.919669768051396,8.471627,jefatura masculina,telefono celular,telefono residencial,no computadora,no internet,electricidad,servicio sanitario,agua,FRENTE AMPLIO,ACCION CIUDADANA,True,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN JOSE,370,364,49123,93.15391975245784,urbana,91.70699344364658,mujer,20 a 24,14235,3.429364243062873,vivienda en mal estado,vivienda no hacinada,superior,alfabeta,11.239747000652619,30.433258092086426,75.93909757723871,49.0945273631843,fuera de fuerza,oficios domesticos,nacido en extranjero,sin discapacidad,13.545589642326416,asegurado,29.76429114536541,10.16509,jefatura femenina,telefono celular,no telefono residencial,computadora,no internet,electricidad,servicio sanitario,agua,INTEGRACION NACIONAL,ACCION CIUDADANA,True,ACCION CIUDADANA,RESTAURACION NACIONAL,ACCION CIUDADANA
SAN JOSE,444,445,208411,93.55072428998523,urbana,92.19546833645342,hombre,30 a 34,57355,3.6174352715543545,vivienda en mal estado,vivienda no hacinada,primaria completa,alfabeta,9.59926976949675,33.74507919779308,74.29009057005901,41.5641476274165,dentro de fuerza,sector terciario,no nacido en extranjero,sin discapacidad,14.540979122982879,asegurado,34.17792792792755,6.911342,jefatura femenina,telefono celular,no telefono residencial,no computadora,internet,electricidad,servicio sanitario,agua,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,True,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN JOSE,434,416,49132,100,urbana,87.36938448630922,hombre,25 a 29,16589,2.9418892036891915,vivienda en mal estado,vivienda no hacinada,secundaria completa,alfabeta,12.945711479703181,35.42005652136658,69.20096345167003,49.89983528469021,fuera de fuerza,estudia,no nacido en extranjero,sin discapacidad,10.17463160465685,asegurado,40.417733302303986,9.861957,jefatura masculina,telefono celular,no telefono residencial,computadora,no internet,electricidad,servicio sanitario,agua,ACCION CIUDADANA,ACCION CIUDADANA,True,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
